ID,State,Crop,Season,Soil_Type,Year,Area_Hectares,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Nitrogen_kg,Phosphorus_kg,Potassium_kg,Yield_Quintal_per_Hectare,Production_Quintals
1,Maharashtra,Wheat,Zaid,Alluvial,2013,11.32,105.8,33.4,74.0,8.1,30.4,28.2,6.3,34.07,385.67
2,Tamil Nadu,Soybean,Zaid,Clay,2013,11.16,162.3,22.0,86.5,7.5,39.2,28.2,17.5,24.63,274.87
3,Tamil Nadu,Sugarcane,Kharif,Alluvial,2011,4.4,139.7,23.6,47.2,4.7,75.1,11.9,46.5,73.63,323.97
4,Haryana,Sugarcane,Kharif,Sandy,2010,41.79,215.3,34.3,94.0,7.9,124.0,25.9,25.4,82.33,3440.57
5,MP,Maize,Rabi,Red,2020,19.28,116.7,38.4,72.1,6.9,40.5,45.1,12.4,44.47,857.38
6,Punjab,Soybean,Rabi,Clay,2013,11.03,255.5,35.1,56.1,4.8,129.6,36.2,37.3,29.1,320.97
7,Gujarat,Potato,Zaid,Laterite,2012,11.36,116.2,21.2,66.5,5.6,90.2,54.4,23.0,40.06,455.08
8,UP,Wheat,Kharif,Alluvial,2020,27.88,90.0,32.0,68.8,6.0,91.5,30.7,16.3,37.74,1052.19
9,Haryana,Rice,Zaid,Clay,2020,36.24,271.2,33.8,80.0,5.9,55.2,13.7,5.1,49.03,1776.85
10,Maharashtra,Maize,Kharif,Sandy,2023,0.53,209.7,30.2,39.9,7.6,84.7,47.8,28.9,38.72,20.52
11,Haryana,Sugarcane,Kharif,Laterite,2015,24.56,269.7,35.8,50.0,4.7,125.4,57.1,8.9,83.99,2062.79
12,Gujarat,Maize,Zaid,Black,2018,35.79,91.3,28.2,69.4,8.4,131.5,46.5,36.0,48.61,1739.75
13,Karnataka,Barley,Zaid,Clay,2017,0.86,274.9,26.3,46.1,4.8,22.5,35.5,31.5,30.76,26.45
14,Haryana,Wheat,Rabi,Alluvial,2018,39.34,109.5,31.7,43.9,5.0,132.3,36.4,26.3,39.35,1548.03
15,Haryana,Barley,Kharif,Black,2020,20.43,157.8,25.6,60.4,7.4,100.8,59.1,9.4,28.95,591.45
16,Gujarat,Soybean,Kharif,Black,2012,3.0,155.5,22.0,46.2,8.2,73.2,52.4,29.8,31.37,94.11
17,UP,Rice,Kharif,Alluvial,2016,39.31,171.4,20.3,56.1,4.7,65.5,59.2,16.9,48.87,1921.08
18,Maharashtra,Potato,Kharif,Black,2013,42.71,292.2,29.5,65.2,7.5,26.9,37.1,27.6,37.36,1595.65
19,Haryana,Maize,Zaid,Alluvial,2023,29.93,96.5,29.9,73.9,5.4,34.4,54.0,16.1,39.07,1169.37
20,Karnataka,Sugarcane,Kharif,Red,2013,31.25,116.4,18.3,72.0,6.3,131.5,56.5,5.4,76.82,2400.62
21,MP,Wheat,Zaid,Alluvial,2018,35.33,116.3,38.3,87.3,8.0,64.3,13.7,42.5,29.58,1045.06
22,Maharashtra,Rice,Zaid,Clay,2020,10.93,75.9,37.0,47.2,8.1,109.1,13.5,17.7,40.62,443.98
23,Maharashtra,Sugarcane,Zaid,Black,2018,38.67,172.1,37.6,85.0,4.9,70.8,20.2,5.2,71.37,2759.88
24,Tamil Nadu,Potato,Zaid,Sandy,2018,7.83,52.4,16.9,87.4,8.1,85.5,50.9,31.2,33.89,265.36
25,Karnataka,Maize,Rabi,Alluvial,2022,43.8,293.0,16.0,53.3,7.2,100.0,24.5,30.2,57.22,2506.24
26,Tamil Nadu,Soybean,Kharif,Black,2010,8.38,94.8,38.1,80.9,6.1,100.4,45.4,16.2,22.03,184.61
27,Gujarat,Wheat,Kharif,Laterite,2013,20.22,99.9,38.0,52.7,7.8,124.6,17.3,34.7,37.99,768.16
28,Tamil Nadu,Cotton,Zaid,Red,2020,13.64,295.3,28.4,91.1,5.0,136.4,14.8,48.3,28.65,390.79
29,Karnataka,Wheat,Rabi,Sandy,2021,22.08,246.6,25.9,94.0,5.0,127.9,15.5,7.0,40.0,883.2
30,Haryana,Soybean,Rabi,Red,2020,16.65,280.2,30.6,73.1,5.0,128.0,32.9,35.0,30.46,507.16
31,MP,Cotton,Kharif,Sandy,2016,15.54,216.2,24.5,78.6,5.2,88.3,27.3,42.5,24.85,386.17
32,Gujarat,Sugarcane,Rabi,Laterite,2020,31.83,103.4,26.8,88.6,7.7,40.4,9.7,28.2,76.79,2444.23
33,Maharashtra,Sugarcane,Kharif,Alluvial,2013,44.36,251.6,18.7,33.0,8.4,93.4,47.3,25.5,76.12,3376.68
34,MP,Barley,Rabi,Laterite,2012,47.92,214.0,15.1,78.8,7.6,32.8,28.4,12.9,29.84,1429.93
35,MP,Potato,Zaid,Alluvial,2023,22.41,80.3,18.3,60.2,6.6,87.1,22.5,39.0,37.58,842.17
36,UP,Barley,Rabi,Sandy,2021,12.34,265.4,26.3,78.9,7.9,53.3,47.8,26.8,27.41,338.24
37,Maharashtra,Potato,Zaid,Alluvial,2013,3.68,117.9,23.0,65.1,5.1,47.8,43.2,36.8,30.82,113.42
38,Tamil Nadu,Barley,Kharif,Alluvial,2016,17.91,276.2,29.6,75.2,7.9,111.9,25.9,5.3,36.71,657.48
39,MP,Barley,Zaid,Laterite,2017,23.64,104.9,25.9,31.9,5.8,101.5,27.2,12.4,31.95,755.3
40,Punjab,Rice,Zaid,Laterite,2011,38.18,210.7,18.4,60.0,4.7,65.5,16.6,19.7,55.32,2112.12
41,Maharashtra,Barley,Rabi,Red,2023,32.76,70.5,15.5,65.1,8.5,62.0,40.8,40.2,29.94,980.83
42,UP,Soybean,Zaid,Alluvial,2013,30.56,81.6,31.7,66.7,5.4,103.9,47.2,12.6,16.27,497.21
43,Haryana,Wheat,Rabi,Black,2019,34.69,56.4,22.8,74.0,8.3,67.6,44.3,8.4,36.82,1277.29
44,Haryana,Cotton,Zaid,Clay,2022,42.55,296.0,34.6,52.6,6.2,64.5,32.8,20.4,20.93,890.57
45,Karnataka,Potato,Rabi,Alluvial,2020,46.02,272.9,26.5,39.9,5.2,82.6,40.8,32.7,39.51,1818.25
46,Haryana,Cotton,Kharif,Red,2014,9.5,270.4,21.1,60.2,6.9,65.5,6.6,43.3,20.42,193.99
47,Karnataka,Soybean,Rabi,Red,2014,24.68,270.1,32.5,48.0,4.5,133.8,9.7,37.4,29.83,736.2
48,Haryana,Potato,Kharif,Laterite,2014,37.42,105.4,32.3,49.9,6.8,76.8,34.2,24.1,27.76,1038.78
49,Gujarat,Sugarcane,Zaid,Red,2014,9.98,126.7,20.8,76.9,5.8,109.1,57.3,36.1,78.2,780.44
50,Maharashtra,Cotton,Kharif,Alluvial,2013,47.23,140.2,22.6,76.0,5.0,25.5,8.0,18.1,14.98,707.51
51,Maharashtra,Potato,Kharif,Alluvial,2017,24.84,169.7,23.5,92.8,5.5,123.4,11.3,7.9,34.17,848.78
52,Maharashtra,Maize,Zaid,Black,2011,22.8,298.5,18.0,79.7,6.9,114.9,17.4,28.5,50.96,1161.89
53,Tamil Nadu,Potato,Zaid,Red,2014,4.52,192.2,16.5,92.4,4.9,111.5,39.4,16.9,40.95,185.09
54,Gujarat,Maize,Rabi,Alluvial,2021,46.23,198.5,22.3,45.0,7.3,104.4,30.0,35.9,52.33,2419.22
